judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted
Qwen2.5-7B,conf_lp,clean,0.68,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.69,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.7,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.71,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.72,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.73,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.74,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.75,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.76,1836,1834,2,0.9989106753812637,0.9977578475336323,0.24263904034896402,0.5143650084318035
Qwen2.5-7B,conf_lp,clean,0.77,1836,1834,2,0.9989106753812637,0.9977578475336323,0.24263904034896402,0.5143650084318035
Qwen2.5-7B,conf_lp,clean,0.78,1836,1834,2,0.9989106753812637,0.9977578475336323,0.24263904034896402,0.5143650084318035
Qwen2.5-7B,conf_lp,clean,0.79,1836,1834,2,0.9989106753812637,0.9977578475336323,0.24263904034896402,0.5143650084318035
Qwen2.5-7B,conf_lp,clean,0.8,1836,1834,2,0.9989106753812637,0.9977578475336323,0.24263904034896402,0.5143650084318035
Qwen2.5-7B,conf_lp,clean,0.81,1836,1834,2,0.9989106753812637,0.9977578475336323,0.24263904034896402,0.5143650084318035
Qwen2.5-7B,conf_lp,clean,0.82,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.83,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.84,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.85,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.86,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.87,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.88,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.89,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.9,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.91,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.92,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.93,1836,1833,3,0.9983660130718954,0.9955156950672646,0.24222585924713586,0.515250352609309
Qwen2.5-7B,conf_lp,clean,0.94,1836,1830,6,0.9967320261437909,0.9910313901345291,0.24153005464480876,0.5167020588829285
Qwen2.5-7B,conf_lp,clean,0.95,1836,1830,6,0.9967320261437909,0.9910313901345291,0.24153005464480876,0.5167020588829285
